31	17
33	17
33	16
34	18
33	18
33	19
33	18
33	17
32	16
31	15
33	14
33	16
33	14
32	15
32	14
32	16
32	14
31	13
31	13
30	13
29	20
31	21
29	19
29	20
30	20
31	18
31	19
32	19
32	18
31	16
31	18
32	18
31	17
31	16
31	15
30	14
30	13
30	13
31	12
32	14
32	18
33	15
34	16
33	16
33	17
33	17
32	17
30	14
30	15
32	14
32	11
32	9
32	10
31	11
31	13
32	13
32	13
32	14
31	12
31	12
31	12
31	12
31	12
30	12
29	13
29	13
30	13
29	13
28	13
28	12
29	12
29	11
29	12
30	13
30	13
28	13
29	13
30	13
31	13
31	14
31	14
31	14
30	14
30	13
29	12
29	13
29	13
30	11
30	11
30	13
31	13
31	13
31	13
32	12
31	14
31	13
30	11
31	11
32	10
30	10
31	10
33	14
32	13
31	13
33	13
33	13
34	12
35	12
35	13
34	11
34	12
34	14
33	14
33	14
34	14
35	14
35	15
33	14
32	13
29	15
19	14
27	15
26	11
28	10
32	12
33	14
34	13
34	13
34	15
32	17
33	16
33	18
34	16
33	18
32	17
32	16
34	15
35	15
36	16
36	18
37	20
38	19
38	19
38	19
38	19
38	20
38	21
38	21
36	21
35	20
35	17
