31	90	2
17	78	5
29	75	2
14	62	0
28	73	6
34	82	2
26	51	0
24	69	0
29	86	2
16	90	0
27	67	0
27	84	0
30	56	6
24	90	5
23	67	0
30	72	2
30	82	6
28	70	6
16	56	0
30	81	6
10	73	0
21	50	0
10	53	0
32	76	6
27	61	0
20	87	3
29	86	2
20	76	5
29	83	2
14	62	0
26	72	0
15	88	1
28	59	6
18	60	0
22	51	0
10	52	0
15	62	0
20	71	0
13	77	1
24	69	0
25	71	0
20	77	3
20	67	0
19	55	0
31	61	2
31	58	2
20	55	0
29	72	2
30	89	6
11	68	0
10	59	0
32	50	6
27	84	0
35	86	2
31	50	6
29	56	6
15	59	0
19	77	5
13	76	4
23	55	0
27	65	0
33	57	2
27	74	0
26	90	5
10	77	1
24	71	0
21	81	5
35	81	6
21	71	0
26	62	0
16	86	0
25	51	0
32	71	2
21	54	0
23	77	3
18	80	3
20	75	0
14	79	4
14	86	4
29	89	2
21	88	5
10	50	0
17	67	0
19	58	0
20	63	0
20	79	5
13	88	1
28	70	6
23	82	3
27	74	0
15	71	0
35	85	6
11	74	0
15	82	4
20	69	0
19	53	0
25	86	5
11	89	1
17	90	5
33	60	2
