18	76	24
14	72	27
25	100	34
11	77	12
9	74	13
15	90	24
23	89	35
18	100	17
21	84	35
21	92	33
26	94	32
13	83	29
24	76	39
16	96	22
20	79	25
17	92	17
27	70	35
16	97	22
27	91	35
25	75	40
13	93	18
15	100	18
17	100	23
25	92	31
18	99	19
16	94	21
10	86	8
23	81	41
12	93	7
23	97	31
12	86	7
23	87	35
13	87	23
10	94	8
17	77	24
17	91	23
19	70	27
13	72	27
9	100	9
27	83	37
18	87	24
10	93	8
14	78	24
19	83	29
10	95	7
25	74	38
17	97	17
21	97	31
11	86	10
26	84	39
13	84	25
16	86	19
21	85	37
14	89	24
10	85	15
13	96	24
18	74	24
13	94	20
27	94	33
19	76	29
18	90	22
18	84	29
15	74	30
25	83	37
13	86	24
17	77	27
15	76	25
22	95	35
13	86	17
9	96	12
15	95	21
12	78	16
14	72	25
15	79	26
21	97	35
18	72	29
20	95	22
9	70	12
12	85	16
24	70	40
25	79	41
20	97	23
17	85	28
10	98	11
18	92	20
19	74	29
19	76	26
23	73	41
19	71	30
27	75	40
13	80	30
14	88	20
12	97	11
22	75	36
11	81	15
27	73	39
10	70	12
20	71	26
9	90	6
19	79	24
